ID,Building,Current Rating,Total m²,kgCO2 indicator,Heating kWh/m²/yr,Electricity kWh/m²/yr,Typical Building kWh/m²/yr,Next Rating Indicator,Valid Until,SEAI Number,Previous Rating
935,Civic Offices,E1,40862,105.35,92.67,210.94,290.6,100,45077,800862146,E1
17,Tara Street Fire Station,E1,5571,103,238.94,281.68,512.66,100,45077,800857286,D2
1198,Ballymun Leisure Centre,C1,4508,57.34,699.07,150.85,1465.85,50,45077,800855983,B3
1200,Ballyfermot Leisure Centre,B3,4429,47.52,494.22,87.59,1213.24,42,45077,800856080,B3
16,O'Brien Institute,E2,3666,116.45,285.05,229.04,442.85,112.5,45077,800855967,F
736,Pearse Street Library,C1,3535,53.47,108.1,143.36,474.21,50,45077,800855975,C1
1197,Finglas Leisure Centre,C2,2690,64.66,726.88,268.91,1537.92,58.5,45077,800856536,C1
1406,Poppintree Community Sports Centre,C1,2513,52.24,154.26,88.97,466.49,50,45077,800856205,B3
1195,Cabra Parkside Sports Centre,B2,2256,36.75,95.26,116.16,583.03,33.5,45077,800855991,B2
850,City Hall,E1,2051,104.55,242.43,164.73,388.02,100,45077,800856155,D2
735,Central Library,D1,2013,77.6,196.91,168.02,470.74,75,45077,800856007,D1
1097,St Catherine's Sports Centre,D1,1925,82.94,398.65,45.18,526.09,75,45077,800856015,D2
740,Cabra Library,C2,1860,62.6,160.24,119.06,443.2,58.5,45077,800856023,C1
656,Inchicore Sports Centre,A3,1669,23.11,102.03,51.58,663.54,17,45077,800856031,B1
1495,Clogher Road Community and Sports Centre,C2,1497,60.57,139.33,59.35,326.64,58.5,45077,800856056,C1
1205,Ballybough Community and Sports Centre,B3,1495,49.43,139.51,119.2,526.81,42,45077,800856049,C1
1196,Irishtown Sports and Fitness,B3,1482,47.69,229.65,74.56,623.25,42,45077,800856163,C1
1170,Markievicz Leisure Centre,D2,1421,99.82,868.08,332.48,1201.46,87.5,45077,800856486,E2
15,Phibsboro Fire Station,E1,1354,104.98,349.97,273.16,601.11,100,45077,800856502,C2
13,North Strand Fire Station,D1,1100,85.11,273.43,231.15,601.11,75,45077,800856064,D1
1175,Aughrim Street Sports Centre,C2,1008,61.93,155.03,7.85,258.4,58.5,45077,800856072,B3
1181,St Laurence O'Toole Recreation Centre,C1,1001.5,51.49,112.97,54.93,325.34,50,45077,800856171,C2
